time stamp, twistx, twisty, twistz, odomx, odomy, odom_theta, odom_vx, odom_vy, odom_w, roll, pitch, yaw, accl_x, accl_y, accl_z
0.0100501, 0,0,0, 0.0277323,0.00735687,0.112705,-0.119467,-0.0949067,-0.497779, 0.00733038,-0.0253073,0.185179,0.294199,0.0686466,10.3166
0.0200517, 0,0,0, 0.029093,0.00658036,0.117964,-0.126229,-0.0927935,-0.525955, 0.00680678,-0.0251327,0.194081,-0.0490333,0.17652,9.97336
0.030072, 0,0,0, 0.0305477,0.00582028,0.123599,-0.135246,-0.0929813,-0.563523, 0.00628319,-0.0258309,0.213105,0.333426,0.451106,8.32585
0.0400407, -0,0.00104887,1, 0.0320825,0.00500867,0.129516,-0.142008,-0.0998845,-0.591699, 0.00628319,-0.0260054,0.223053,0.1471,0.02942,9.24767
0.0501268, -0,0.00104887,1, 0.0336339,0.00411678,0.135433,-0.142008,-0.108901,-0.591699, 0.00575959,-0.0258309,0.233176,0.254973,0.215746,9.78704
0.0600541, -0,0.00104887,1, 0.0350477,0.0027855,0.140505,-0.121721,-0.151306,-0.507171, 0.00541052,-0.0254818,0.243299,-0.0490333,0.17652,10.1695
0.0702033, -0,0.00104887,1, 0.0363207,0.00137482,0.144919,-0.105942,-0.15774,-0.441427, 0.00541052,-0.0253073,0.253771,-0.127486,-0.0490333,10.9736
0.0801954, -0,0.00104887,1, 0.0378152,0.000520445,0.150555,-0.135246,-0.106506,-0.563523, 0.00541052,-0.0253073,0.253771,-0.127486,-0.0490333,10.9736
0.0901005, -0,0.00104887,1, 0.0394884,-0.00041547,0.156847,-0.151024,-0.118105,-0.629268, 0.00523599,-0.0258309,0.264417,0.451106,-0.00980665,10.7873
0.100061, -0,0.00104887,1, 0.0411184,-0.00146171,0.162858,-0.146516,-0.127028,-0.610483, 0.00453786,-0.026529,0.274889,0.715885,0.137293,9.86549
0.11008, -0,0.00104887,1, 0.0427732,-0.00219912,0.169151,-0.151024,-0.100072,-0.629268, 0.00418879,-0.0270526,0.285885,0.451106,0.519752,8.97309
0.120082, -0,0.00104887,1, 0.0443111,-0.00315029,0.174786,-0.1375,-0.117823,-0.572915, 0.00401426,-0.0268781,0.296881,-0.127486,0.372653,9.66936
0.130087, -0,0.00104887,1, 0.0457755,-0.00403698,0.18014,-0.128483,-0.113127,-0.535347, 0.00331613,-0.0263545,0.307527,-0.00980665,0.294199,9.82626
0.140051, -0,0.00104887,1, 0.047281,-0.00486407,0.185681,-0.132991,-0.108713,-0.554131, 0.00244346,-0.0263545,0.329518,0.411879,0.333426,10.856
0.150061, -0,0.00104887,1, 0.0487368,-0.00576073,0.19094,-0.126229,-0.115334,-0.525955, 0.00244346,-0.0267035,0.340339,0.225553,0.254973,9.20844
0.160052, -0,0.00104887,1, 0.0501795,-0.00667577,0.196106,-0.123975,-0.117542,-0.516563, 0.00226893,-0.0267035,0.351509,-0.313813,0.372653,8.86521
0.170049, -0,0.00104887,1, 0.0515913,-0.00752112,0.201178,-0.121721,-0.110732,-0.507171, 0.00174533,-0.026529,0.362505,-0.313813,-0.00980665,9.74781
0.180138, -0,0.00104887,1, 0.0530883,-0.00852755,0.206437,-0.126229,-0.128859,-0.525955, 0.000872665,-0.0263545,0.373326,-0.549172,-0.735499,10.7089
