time stamp, twistx, twisty, twistz, omega_l, omega_r, omega_m, omega_l, omega_r, omega_m, roll, pitch, yaw, accl_x, accl_y, accl_z, dis_m, dis_r, dis_l, str_m, str_r, str_l, sick_one, sick_two, sick_three, sick_four, works_one, works_two, works_three, works_four, sick_update
0.0101545, 0,0,0, 0,0,0.00358074,0,0,0.00358074, 0.0261799,-0.01309,0.00139626,0.0784532,0.245166,9.76742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020647, 0,0,0, 0,0,0.00358074,0,0,0.00358074, 0.0261799,-0.01309,0.00139626,0.0784532,0.245166,9.80665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0226376, 0,0,0, 0,0,0.00549061,0,0,0.00549061, 0.0261799,-0.01309,0.00139626,0.0784532,0.245166,9.80665,0,0,0,0,0,0,936.398,646.587,231.847,109.818,0,1,1,1,1
0.0302062, 0,0,0, 0,0,0.00339725,0,0,0.00339725, 0.0261799,-0.01309,0.00139626,0.0784532,0.245166,9.80665,0,0,0,0,0,0,936.398,646.587,231.847,109.818,0,1,1,1,0
0.0417345, 0,0,0, 0,0,0.00339725,0,0,0.00339725, 0.0261799,-0.01309,0.00139626,0.0784532,0.245166,9.80665,0,0,0,0,0,0,936.398,646.587,231.847,109.818,0,1,1,1,0
0.050802, 0,0,0, 0,0,0.00339725,0,0,0.00339725, 0.0261799,-0.01309,0.0015708,0.0490333,0.245166,9.738,0,0,0,0,0,0,936.398,646.587,231.847,109.818,0,1,1,1,0
0.0600626, 0,0,0, 0,0,0.00287098,0,0,0.00287098, 0.0261799,-0.01309,0.0015708,0.0490333,0.245166,9.81646,0,0,0,0,0,0,936.398,646.587,231.847,109.818,0,1,1,1,0
0.0704882, 0,0,0, 0,0,0.00287098,0,0,0.00287098, 0.0261799,-0.0129154,0.0015708,0.0784532,0.245166,9.80665,0,0,0,0,0,0,936.398,646.587,231.847,109.818,0,1,1,1,0
0.0803163, -0,-0,0, 0,0,0.00287098,0,0,0.00287098, 0.0263545,-0.0129154,0.0015708,0.11768,0.20594,9.76742,0,0,0,0,0,0,936.398,646.587,231.847,109.818,0,1,1,1,0
0.0809064, -0,-0,0, 0,0,0.00352029,0,0,0.00352029, 0.0263545,-0.0129154,0.0015708,0.11768,0.20594,9.76742,0,0,0,0,0,0,934.764,644.954,231.306,107.937,0,1,1,1,1
0.0902052, -0,-0,0, 0,0,0.00450188,0,0,0.00450188, 0.0263545,-0.0129154,0.00174533,0.11768,0.284393,9.76742,0,0,0,0,0,0,934.764,644.954,231.306,107.937,0,1,1,1,0
0.100173, -0,-0,0, 0,0,0.00450188,0,0,0.00450188, 0.0261799,-0.0129154,0.00174533,0.0784532,0.284393,9.80665,0,0,0,0,0,0,934.764,644.954,231.306,107.937,0,1,1,1,0
0.110327, -0,-0,0, 0,0,0.00450188,0,0,0.00450188, 0.0263545,-0.0129154,0.00174533,0.11768,0.284393,9.80665,0,0,0,0,0,0,934.764,644.954,231.306,107.937,0,1,1,1,0
