time stamp, twistx, twisty, twistz, omega_l, omega_r, omega_m, omega_l, omega_r, omega_m, roll, pitch, yaw, accl_x, accl_y, accl_z, dis_m, dis_r, dis_l, str_m, str_r, str_l
0.0100925, 0,0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.107873,9.80665,167,359,329,3030,2318,861
0.0200357, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.76742,167,359,328,3030,2318,861
0.030134, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.76742,167,359,328,3038,2325,851
0.040071, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.81646,167,359,329,3040,2326,862
0.0500791, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.81646,167,358,329,3045,2325,858
0.0601628, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.76742,167,359,330,3037,2327,861
0.0701294, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.76742,167,358,330,3041,2323,853
0.0801208, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.81646,167,359,329,3034,2325,852
0.0900962, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.107873,9.80665,167,359,329,3034,2331,856
0.100079, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.80665,167,359,329,3028,2333,854
0.110121, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.81646,167,359,329,3048,2327,852
0.120058, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.81646,167,359,329,3033,2329,865
0.130088, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.81646,167,359,329,3039,2326,859
0.140079, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.81646,167,359,329,3039,2326,859
0.150089, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.80665,167,359,328,3039,2324,853
0.160073, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.80665,167,358,329,3040,2318,856
0.170081, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.107873,9.76742,167,358,329,3039,2322,850
0.180077, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.81646,167,359,329,3042,2329,858
0.190078, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.81646,167,359,329,3039,2319,858
0.200071, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.80665,167,359,329,3033,2326,860
0.210085, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.80665,167,359,328,3035,2327,859
0.220146, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.80665,167,359,330,3041,2328,857
0.230079, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.81646,167,359,330,3033,2326,851
0.24007, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.81646,167,359,329,3035,2329,856
0.250102, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.81646,167,359,329,3035,2329,856
0.260087, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.81646,168,359,329,3034,2330,862
0.27012, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.80665,167,359,329,3047,2325,858
0.280083, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.80665,167,359,330,3030,2327,857
0.290127, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.80665,167,359,328,3040,2332,853
0.300126, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.81646,167,359,329,3039,2320,857
0.310126, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.76742,167,359,329,3042,2321,858
0.320116, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.107873,9.81646,167,359,329,3039,2325,858
0.330076, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.107873,9.81646,167,359,329,3043,2323,852
0.340067, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.77723,167,359,328,3036,2326,855
0.350088, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.80665,167,359,329,3036,2326,855
0.360071, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.80665,167,359,329,3041,2330,859
0.370192, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.107873,9.81646,167,359,329,3045,2326,855
0.380101, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0784532,-0.0686466,9.81646,167,359,329,3042,2332,855
0.390087, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.107873,9.80665,167,359,329,3047,2331,858
0.400098, -0,-0,0, 0,0,0,0,0,0, -0.00785398,0.00558505,1.57882,-0.0392266,-0.0686466,9.80665,167,359,330,3047,2326,856
