time stamp, twistx, twisty, twistz, omega_l, omega_r, omega_m, omega_l, omega_r, omega_m, roll, pitch, yaw, accl_x, accl_y, accl_z, dis_m, dis_r, dis_l, str_m, str_r, str_l
0.0101097, 0,0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,362,327,3330,1749,1022
0.0203125, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,362,326,3332,1747,1021
0.030184, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,85,362,326,3334,1755,1020
0.0401261, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,85,362,325,3332,1741,1021
0.0501139, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,85,362,325,3341,1749,1025
0.0603135, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,362,326,3337,1749,1019
0.0701468, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,362,325,3334,1753,1023
0.0801048, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,85,363,326,3339,1754,1029
0.0901194, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,85,363,325,3332,1755,1023
0.100209, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,85,363,325,3332,1755,1023
0.110313, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,363,325,3336,1753,1029
0.120146, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,363,326,3334,1744,1028
0.130119, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,362,326,3336,1746,1022
0.140134, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,362,325,3334,1746,1025
0.150156, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,363,327,3335,1742,1022
0.160145, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,363,327,3335,1746,1026
0.17013, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,362,326,3336,1743,1018
0.180262, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,85,363,326,3339,1747,1022
0.190119, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.0490333,9.80665,84,362,325,3336,1749,1026
0.200156, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,363,325,3337,1743,1025
0.210128, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,363,325,3337,1743,1025
0.220127, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,85,363,326,3331,1742,1022
0.230431, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,85,363,326,3342,1748,1029
0.240107, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,85,362,326,3330,1748,1026
0.250129, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,85,363,326,3337,1743,1025
0.260129, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,363,326,3338,1749,1027
0.270073, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,85,362,326,3329,1746,1028
0.28012, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,85,363,326,3333,1741,1027
0.290144, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,363,326,3334,1752,1021
0.300116, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.0490333,9.80665,84,362,327,3333,1749,1033
0.310151, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1745,1026
0.320222, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1745,1026
0.330131, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,363,326,3338,1751,1031
0.340146, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,362,326,3335,1751,1023
0.350183, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1753,1021
0.360132, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3332,1749,1030
0.370135, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,363,326,3337,1746,1022
0.380131, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,85,362,326,3328,1754,1028
0.390164, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,362,326,3337,1751,1029
0.400113, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.11768,0.00980665,9.81646,85,362,326,3343,1748,1022
0.410137, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,85,362,326,3337,1749,1018
0.420146, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.84588,84,362,325,3340,1746,1019
0.430184, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.84588,84,362,325,3340,1746,1019
0.440202, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.81646,84,362,326,3334,1750,1021
0.450389, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.460189, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.470166, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.480084, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.490436, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.500137, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.510141, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.520143, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.530155, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.540151, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.550142, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.560159, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.57014, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.580149, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.59015, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.600306, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.610129, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
0.620182, -0,-0,0, 0,0,0,0,0,0, 0.000872665,-0.0167552,1.49522,0.156906,0.00980665,9.77723,84,362,326,3334,1750,1021
