time stamp, twistx, twisty, twistz, omega_l, omega_r, omega_m, omega_l, omega_r, omega_m, roll, pitch, yaw, accl_x, accl_y, accl_z
0.0101645, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.0201087, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.0301082, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.0401251, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.0501554, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.0601215, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.0701201, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.0801291, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.0901279, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.100138, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.110108, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.120098, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.1301, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.140114, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.150141, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.160129, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.170112, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.180142, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.190098, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.200087, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.210132, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.220113, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.230124, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.240133, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.250092, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.260119, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.270095, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.280099, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.290118, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.300091, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.310112, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.320113, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.330112, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.340142, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.350128, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.360096, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.37012, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.380129, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.390131, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.400122, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.410132, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.420136, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.430141, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.440116, 0,0,0, 0,0,0,0,0,0, 0,0,0,0,0,0
0.450121, 0,0,0, 0,0,0,0,0,0, 0.0230383,-0.0247837,-0.000174533,0.23536,0.26478,9.80665
0.460095, 0,0,0, 0,0,0,0,0,0, 0.0230383,-0.0247837,-0.000174533,0.274586,0.225553,9.80665
0.470177, 0,0,0, 0,0,0,0,0,0, 0.0230383,-0.0247837,-0.000174533,0.23536,0.225553,9.80665
0.480152, 0,0,0, 0,0,0,0,0,0, 0.0230383,-0.0247837,-0.000174533,0.23536,0.225553,9.80665
0.49013, 0,0,0, 0,0,0,0,0,0, 0.0230383,-0.0247837,-0.000174533,0.274586,0.225553,9.76742
0.500101, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0247837,-0.000174533,0.23536,0.225553,9.76742
0.510124, 0,0,0, 0,0,0,0,0,0, 0.0230383,-0.0247837,-0.000174533,0.23536,0.225553,9.80665
0.52009, 0,0,0, 0,0,0,0,0,0, 0.0230383,-0.0247837,-0.000174533,0.23536,0.225553,9.80665
0.530138, 0,0,0, 0,0,0,0,0,0, 0.0230383,-0.0247837,-0.000174533,0.23536,0.225553,9.80665
0.540128, 0,0,0, 0,0,0,0,0,0, 0.0230383,-0.0247837,-0.000174533,0.23536,0.225553,9.80665
0.550108, 0,0,0, 0,0,0,0,0,0, 0.0230383,-0.0247837,-0.000174533,0.196133,0.225553,9.76742
0.56012, 0,0,0, 0,0,0,0,0,0, 0.0230383,-0.0247837,0,0.23536,0.186326,9.80665
0.57012, 0,0,0, 0,0,0,0,0,0, 0.0230383,-0.0247837,-0.000174533,0.23536,0.225553,9.76742
0.580181, 0,0,0, 0,0,0,0,0,0, 0.0230383,-0.0247837,-0.000174533,0.274586,0.186326,9.80665
0.590145, 0,0,0, 0,0,0,0,0,0, 0.0230383,-0.0247837,-0.000174533,0.274586,0.186326,9.80665
0.600147, 0,0,0, 0,0,0,0,0,0, 0.0230383,-0.0247837,-0.000174533,0.274586,0.225553,9.80665
0.610137, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0247837,0,0.23536,0.225553,9.80665
0.620126, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0247837,0,0.23536,0.225553,9.80665
0.630103, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0247837,0,0.23536,0.225553,9.80665
0.640081, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0247837,0,0.274586,0.225553,9.76742
0.650097, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0247837,0,0.23536,0.225553,9.84588
0.66012, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0247837,0,0.274586,0.225553,9.80665
0.67007, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0247837,0,0.23536,0.225553,9.80665
0.680092, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0247837,0,0.23536,0.225553,9.76742
0.690109, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0246091,0,0.23536,0.225553,9.80665
0.700145, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0246091,0,0.23536,0.225553,9.80665
0.710132, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0246091,0,0.23536,0.225553,9.80665
0.720104, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0246091,0,0.23536,0.225553,9.76742
0.730012, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0246091,0,0.23536,0.225553,9.80665
0.740078, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0246091,0,0.23536,0.225553,9.80665
0.750088, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0246091,0,0.274586,0.225553,9.80665
0.76012, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0246091,0,0.274586,0.225553,9.80665
0.770099, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0246091,0,0.23536,0.225553,9.76742
0.780085, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0246091,0,0.23536,0.225553,9.80665
0.790089, 0,0,0, 0,0,0,0,0,0, 0.0232129,-0.0246091,0,0.23536,0.225553,9.80665
