time stamp, twistx, twisty, twistz, omega_l, omega_r, omega_m, omega_l, omega_r, omega_m, roll, pitch, yaw, accl_x, accl_y, accl_z, dis_m, dis_r, dis_l, str_m, str_r, str_l
0.0101285, 0,0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,522,2953,8342,401
0.020071, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,172,172,521,2949,8348,394
0.0301466, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,520,2948,8347,393
0.0401256, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000349066,1.5797,0,-0.215746,9.81646,173,172,520,2943,8351,398
0.0501287, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000349066,1.5797,0,-0.215746,9.81646,173,172,520,2943,8351,398
0.0601711, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000349066,1.5797,0.0392266,-0.294199,9.80665,173,172,520,2949,8347,400
0.0701151, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000349066,1.5797,0,-0.254973,9.81646,173,172,522,2954,8346,402
0.0801263, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000349066,1.5797,0,-0.215746,9.81646,173,172,521,2948,8349,401
0.0900865, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000349066,1.5797,0,-0.215746,9.81646,173,172,521,2946,8356,394
0.100098, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000349066,1.5797,0,-0.215746,9.81646,173,172,521,2949,8353,400
0.110125, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000349066,1.5797,-0.0392266,-0.215746,9.81646,173,172,521,2947,8351,394
0.120107, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000349066,1.5797,-0.0392266,-0.215746,9.81646,173,172,520,2946,8350,402
0.130198, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,172,172,519,2945,8348,403
0.140105, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.81646,173,172,520,2939,8351,393
0.15009, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.77723,172,172,521,2949,8359,393
0.15999, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.77723,172,172,521,2949,8359,393
0.170083, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0.0392266,-0.215746,9.84588,172,172,519,2944,8353,395
0.180116, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.84588,173,172,520,2943,8347,395
0.19008, -0,-0,0, 0,0,0,0,0,0, -0.0240855,-0.000174533,1.5797,0,-0.215746,9.81646,173,172,520,2946,8345,399
0.200166, -0,-0,0, 0,0,0,0,0,0, -0.0240855,-0.000174533,1.5797,0,-0.215746,9.81646,173,172,522,2950,8354,398
0.210068, -0,-0,0, 0,0,0,0,0,0, -0.0240855,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,520,2945,8352,400
0.220099, -0,-0,0, 0,0,0,0,0,0, -0.0240855,-0.000174533,1.5797,-0.0392266,-0.254973,9.81646,172,172,522,2946,8354,408
0.230076, -0,-0,0, 0,0,0,0,0,0, -0.0240855,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,522,2942,8351,398
0.240066, -0,-0,0, 0,0,0,0,0,0, -0.0240855,-0.000174533,1.5797,0,-0.254973,9.81646,172,172,522,2939,8353,402
0.250068, -0,-0,0, 0,0,0,0,0,0, -0.0240855,-0.000174533,1.5797,0,-0.254973,9.81646,172,172,521,2945,8347,396
0.260121, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,522,2942,8351,395
0.270088, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,522,2942,8351,395
0.280146, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.81646,173,172,522,2945,8353,402
0.290153, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,-0.0392266,-0.254973,9.81646,173,172,522,2945,8356,397
0.300072, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.81646,173,172,521,2938,8360,396
0.310151, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.81646,173,172,523,2947,8353,397
0.320128, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.81646,173,172,521,2941,8346,401
0.330111, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.81646,173,172,519,2949,8353,394
0.340116, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,520,2937,8349,401
0.350078, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.81646,173,172,521,2945,8354,394
0.360088, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,172,172,522,2949,8359,398
0.370085, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.81646,172,172,519,2945,8348,396
0.380013, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.81646,172,172,519,2945,8348,396
0.390134, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.77723,173,172,521,2948,8356,403
0.400106, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,522,2938,8350,401
0.410079, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,522,2943,8344,398
0.420128, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.81646,173,172,521,2941,8354,396
0.430121, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.81646,173,172,522,2956,8352,398
0.440109, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,520,2941,8360,397
0.450086, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.81646,173,172,521,2951,8358,400
0.460083, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.77723,173,172,524,2951,8359,393
0.470086, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,-0.0392266,-0.215746,9.77723,172,172,521,2947,8359,392
0.480076, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,522,2945,8350,395
0.490098, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,522,2945,8350,395
0.50009, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,520,2945,8350,399
0.510081, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,520,2947,8352,406
0.520083, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.84588,172,172,520,2951,8352,398
0.530079, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.77723,173,172,521,2945,8362,403
0.539982, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,520,2947,8355,395
0.550117, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,521,2951,8349,396
0.560088, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,520,2940,8352,390
0.57004, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,520,2942,8355,397
0.580109, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,521,2944,8354,397
0.59009, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,-0.0392266,-0.254973,9.81646,173,172,521,2945,8357,395
0.600008, -0,0.00104887,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,-0.0392266,-0.254973,9.81646,173,172,521,2945,8357,395
0.610183, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.81646,173,172,519,2950,8356,397
0.620103, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,-0.0392266,-0.254973,9.81646,172,172,519,2949,8353,391
0.630088, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.81646,173,172,522,2947,8345,399
0.640118, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0.0392266,-0.215746,9.77723,173,172,522,2945,8351,402
0.650091, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.77723,173,173,521,2945,8350,398
0.660083, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,520,2949,8353,403
0.670079, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0.0392266,-0.215746,9.81646,173,172,519,2943,8356,391
0.68009, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,520,2943,8353,395
0.690074, -0,-0,0, 0,0,0,0,0,0, -0.0242601,-0.000174533,1.5797,0,-0.215746,9.77723,173,172,522,2948,8349,394
0.700082, -0,-0,0, 0,0,0,0,0,0, -0.0244346,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,521,2939,8352,396
0.710158, -0,-0,0, 0,0,0,0,0,0, -0.0244346,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,521,2939,8352,396
0.720121, -0,-0,0, 0,0,0,0,0,0, -0.0244346,-0.000174533,1.5797,0,-0.254973,9.77723,173,172,520,2943,8361,399
0.730086, -0,-0,0, 0,0,0,0,0,0, -0.0244346,-0.000174533,1.5797,0,-0.254973,9.81646,173,172,522,2944,8357,397
0.740141, -0,-0,0, 0,0,0,0,0,0, -0.0244346,-0.000174533,1.5797,0,-0.254973,9.84588,173,172,523,2949,8346,396
0.750089, -0,-0,0, 0,0,0,0,0,0, -0.0244346,-0.000174533,1.5797,0,-0.254973,9.84588,173,172,521,2949,8351,395
0.76011, -0,-0,0, 0,0,0,0,0,0, -0.0244346,-0.000174533,1.5797,0.0392266,-0.254973,9.81646,172,172,521,2949,8351,399
0.770127, -0,-0,0, 0,0,0,0,0,0, -0.0244346,-0.000174533,1.5797,-0.0392266,-0.254973,9.84588,172,172,519,2944,8346,396
