time stamp, twistx, twisty, twistz, omega_l, omega_r, omega_m, omega_l, omega_r, omega_m, roll, pitch, yaw, accl_x, accl_y, accl_z, dis_m, dis_r, dis_l, str_m, str_r, str_l
0.0101318, 0,0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,169,277,412,3545,3286,617
0.0201113, 0,0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,169,277,413,3549,3297,615
0.0300901, 0,0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0588399,-0.1471,9.80665,170,277,413,3544,3291,620
0.0400801, 0,0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,169,276,413,3544,3289,616
0.0500982, 0,0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.17652,9.81646,170,277,413,3553,3295,613
0.0600727, 0,0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.17652,9.81646,170,277,413,3553,3295,613
0.0700758, 0,0,0, 0,0,0,0,0,0, -0.0136136,0.00959931,-1.57621,-0.0588399,-0.1471,9.80665,170,277,412,3546,3293,620
0.0801415, 0,0,0, 0,0,0,0,0,0, -0.0136136,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,170,277,413,3546,3293,618
0.0901015, -0,-0,0, 0,0,0,0,0,0, -0.0136136,0.00959931,-1.57621,-0.0980665,-0.17652,9.81646,169,277,414,3546,3292,615
0.1001, -0,-0,0, 0,0,0,0,0,0, -0.0136136,0.00959931,-1.57621,-0.0980665,-0.1471,9.76742,169,277,413,3548,3292,621
0.110114, -0,-0,0, 0,0,0,0,0,0, -0.0136136,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,169,277,413,3548,3291,619
0.120075, -0,-0,0, 0,0,0,0,0,0, -0.0136136,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,170,277,413,3548,3284,623
0.130087, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0588399,-0.1471,9.80665,170,277,414,3550,3284,618
0.140113, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,169,277,414,3545,3290,621
0.150083, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.1471,9.76742,169,277,414,3542,3286,618
0.160075, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00942478,-1.57621,-0.0980665,-0.1471,9.80665,170,277,414,3547,3287,626
0.170087, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00942478,-1.57621,-0.0980665,-0.1471,9.80665,170,277,414,3547,3287,626
0.180247, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00942478,-1.57621,-0.0980665,-0.1471,9.80665,170,277,412,3540,3288,618
0.190127, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00942478,-1.57621,-0.0980665,-0.1471,9.80665,170,277,412,3548,3292,619
0.200073, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00942478,-1.57621,-0.0980665,-0.1471,9.80665,170,277,413,3544,3298,614
0.210081, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.17652,9.81646,170,277,412,3541,3291,618
0.220099, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0588399,-0.1471,9.76742,170,277,412,3550,3288,620
0.230089, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00942478,-1.57621,-0.0980665,-0.1471,9.80665,169,277,411,3546,3290,620
0.240083, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00942478,-1.57621,-0.0588399,-0.1471,9.80665,169,277,412,3551,3285,611
0.250073, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,169,276,413,3546,3291,619
0.260339, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,169,276,414,3539,3295,623
0.270079, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,169,276,414,3539,3295,623
0.280083, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00942478,-1.57621,-0.0980665,-0.1471,9.80665,170,277,414,3551,3295,622
0.290129, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00942478,-1.57621,-0.0980665,-0.17652,9.77723,170,277,413,3544,3296,618
0.300217, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00942478,-1.57621,-0.0980665,-0.1471,9.80665,170,277,414,3545,3290,619
0.310082, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00942478,-1.57621,-0.0588399,-0.1471,9.80665,170,277,414,3544,3287,610
0.320098, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,169,277,413,3539,3294,619
0.33008, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0588399,-0.1471,9.80665,169,277,413,3546,3286,614
0.340126, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,169,276,412,3547,3287,619
0.35008, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0588399,-0.1471,9.80665,169,277,412,3550,3297,615
0.360078, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,170,277,413,3544,3294,619
0.370069, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,170,277,412,3542,3286,620
0.38009, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,169,277,413,3548,3282,621
0.390096, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,169,277,413,3548,3282,621
0.400126, -0,-0,0, 0,0,0,0,0,0, -0.0137881,0.00959931,-1.57621,-0.0980665,-0.1471,9.80665,169,276,413,3542,3286,619
