time stamp, twistx, twisty, twistz, omega_l, omega_r, omega_m, omega_l, omega_r, omega_m, roll, pitch, yaw, accl_x, accl_y, accl_z, dis_m, dis_r, dis_l, str_m, str_r, str_l
0.0101726, 0,0,0, 0,0,0,0,0,0, -0.0198968,0.0111701,1.45613,-0.0980665,-0.17652,9.81646,170,177,512,4022,7789,447
0.0201421, 0,0,0, 0,0,0,0,0,0, -0.0198968,0.0111701,1.45613,-0.137293,-0.17652,9.77723,170,177,511,4018,7798,437
0.0301187, -0,-0,0, 0,0,0,0,0,0, -0.0198968,0.0111701,1.45613,-0.0980665,-0.17652,9.81646,170,177,511,4014,7794,439
0.04003, -0,-0,0, 0,0,0,0,0,0, -0.0198968,0.0111701,1.45613,-0.0980665,-0.215746,9.80665,170,177,510,4017,7794,444
0.050113, -0,-0,0, 0,0,0,0,0,0, -0.0198968,0.0111701,1.45613,-0.0980665,-0.17652,9.81646,170,177,510,4017,7798,441
0.0600851, -0,-0,0, 0,0,0,0,0,0, -0.0198968,0.0109956,1.45613,-0.0980665,-0.215746,9.80665,170,177,510,4027,7799,439
0.070081, -0,-0,0, 0,0,0,0,0,0, -0.0198968,0.0109956,1.45613,-0.0980665,-0.215746,9.80665,170,177,511,4015,7801,440
0.080116, -0,-0,0, 0,0,0,0,0,0, -0.0198968,0.0109956,1.45613,-0.0980665,-0.215746,9.80665,170,177,512,4017,7793,435
0.0901873, -0,-0,0, 0,0,0,0,0,0, -0.0198968,0.0109956,1.45613,-0.0980665,-0.17652,9.77723,170,177,512,4022,7799,438
0.1001, -0,-0,0, 0,0,0,0,0,0, -0.0198968,0.0109956,1.45613,-0.0980665,-0.17652,9.77723,170,177,512,4022,7799,438
0.110101, -0,-0,0, 0,0,0,0,0,0, -0.0198968,0.0109956,1.45613,-0.0980665,-0.215746,9.80665,170,177,513,4020,7784,438
0.120091, -0,-0,0, 0,0,0,0,0,0, -0.0198968,0.0109956,1.45613,-0.0980665,-0.17652,9.77723,170,177,513,4020,7791,439
0.130126, -0,-0,0, 0,0,0,0,0,0, -0.0198968,0.0109956,1.45613,-0.0980665,-0.17652,9.81646,170,177,513,4013,7793,435
0.140098, -0,-0,0, 0,0,0,0,0,0, -0.0198968,0.0109956,1.45613,-0.0980665,-0.215746,9.76742,170,177,513,4020,7794,439
0.150105, -0,-0,0, 0,0,0,0,0,0, -0.0198968,0.0109956,1.45613,-0.0980665,-0.17652,9.81646,170,177,512,4018,7798,441
0.160093, -0,-0,0, 0,0,0,0,0,0, -0.0198968,0.0109956,1.45613,-0.137293,-0.17652,9.81646,170,177,510,4021,7796,442
0.170124, -0,-0,0, 0,0,0,0,0,0, -0.0198968,0.0109956,1.45613,-0.0980665,-0.215746,9.80665,170,177,511,4014,7789,439
