time stamp, twistx, twisty, twistz, omega_l, omega_r, omega_m, omega_l, omega_r, omega_m, roll, pitch, yaw, accl_x, accl_y, accl_z, dis_m, dis_r, dis_l, str_m, str_r, str_l
0.0104344, 0,0,0, 0,0,0,0,0,0, -0.0270526,0.010821,1.42262,-0.0980665,-0.254973,9.76742,171,518,171,3298,508,7558
0.0201445, 0,0,0, 0,0,0,0,0,0, -0.0268781,0.010821,1.42262,-0.0980665,-0.254973,9.80665,171,519,171,3293,519,7556
0.0301089, 0,0,0, 0,0,0,0,0,0, -0.0268781,0.010821,1.42262,-0.0980665,-0.254973,9.80665,171,519,171,3294,516,7563
0.0400758, 0,0,0, 0,0,0,0,0,0, -0.0268781,0.010821,1.42262,-0.0980665,-0.254973,9.80665,171,519,171,3296,519,7558
0.0500743, 0,0,0, 0,0,0,0,0,0, -0.0268781,0.010821,1.42262,-0.0980665,-0.254973,9.76742,171,520,171,3290,517,7560
0.0600867, 0,0,0, 0,0,0,0,0,0, -0.0268781,0.010821,1.42262,-0.0980665,-0.254973,9.76742,171,519,171,3287,527,7554
0.0700724, -0,-0,0, 0,0,0,0,0,0, -0.0268781,0.010821,1.42262,-0.0980665,-0.254973,9.80665,171,518,171,3296,520,7557
0.0800986, -0,-0,0, 0,0,0,0,0,0, -0.0268781,0.010821,1.42262,-0.0980665,-0.254973,9.80665,171,519,171,3298,518,7561
0.0900805, -0,-0,0, 0,0,0,0,0,0, -0.0268781,0.010821,1.42244,-0.0980665,-0.254973,9.80665,171,519,171,3287,516,7566
0.100042, -0,-0,0, 0,0,0,0,0,0, -0.0268781,0.010821,1.42244,-0.137293,-0.254973,9.80665,171,519,171,3296,514,7557
0.110141, -0,-0,0, 0,0,0,0,0,0, -0.0268781,0.010821,1.42244,-0.137293,-0.254973,9.80665,171,519,171,3296,514,7557
0.120096, -0,-0,0, 0,0,0,0,0,0, -0.0268781,0.010821,1.42244,-0.0980665,-0.254973,9.76742,171,518,171,3291,520,7557
0.13011, -0,-0,0, 0,0,0,0,0,0, -0.0268781,0.010821,1.42244,-0.0980665,-0.254973,9.80665,171,518,171,3288,512,7557
