time stamp, twistx, twisty, twistz, omega_l, omega_r, omega_m, omega_l, omega_r, omega_m, roll, pitch, yaw, accl_x, accl_y, accl_z, dis_m, dis_r, dis_l, str_m, str_r, str_l
0.0101416, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.0201361, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.030159, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.0401425, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.050179, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.0601625, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.0701444, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.0801399, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.0901384, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.100132, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.11013, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.12015, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.130112, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.140124, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.1501, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.160146, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.170148, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.180134, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.19014, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.200139, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.210863, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.220161, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
0.230139, 0,0,0, 0,0,0,0,0,0, -0.0261799,0.0115192,1.42419,-0.0980665,-0.254973,9.76742,174,518,175,2993,480,7237
